step,energy_like,coherence_proxy
0,1.4137168490334391e-05,152.4879539357548
1,5.654754454269186e-05,159.23764890741094
2,0.0001272294317648895,159.9012224731056
3,0.00022618113074628177,160.04352624562134
4,0.00035340093905837335,160.0880748776134
5,0.0005088871512554328,160.10556594573347
6,0.0006926380588751064,160.1135684008286
7,0.0009046519504390325,160.1176646597302
8,0.0011449271114534578,160.11995502896713
9,0.0014134618244098522,160.12133415342407
10,0.0017102543687855267,160.12222126259672
11,0.002035303021044248,160.1228282750586
12,0.0023886060546368607,160.123269138868
13,0.0027701617400018993,160.12360835147354
14,0.0031799683445662137,160.12388403889307
15,0.003618024132745584,160.12411959179434
16,0.004084327365945346,160.12432983031655
17,0.004578876302561003,160.12452441283952
18,0.005101669197978856,160.12470979237702
19,0.005652704304576624,160.12489037682727
20,0.006231979871724062,160.1250692373665
21,0.006839494145783588,160.12524855233957
22,0.007475245370110913,160.12542989197956
23,0.00813923178505565,160.12561440492635
24,0.008831451627961947,160.1258029427775
25,0.00955190313316912,160.12599614472916
26,0.010300584532012273,160.12619449602224
27,0.011077494052822922,160.12639836890202
28,0.01188262992092962,160.12660805171507
29,0.0127159903586586,160.12682376984108
30,0.013577573585334386,160.12704570092902
31,0.014467377817280438,160.12727398610772
32,0.015385401267819772,160.12750873831925
33,0.016331642147275584,160.12775004857323
34,0.017306098662971902,160.12799799068122
35,0.018308769019234197,160.1282526248732
36,0.019339651417390028,160.1285140005792
37,0.020398744055769674,160.12878215858706
38,0.021486045129706758,160.12905713272636
39,0.022601552831538887,160.12933895119264
40,0.023745265350608297,160.12962763759438
41,0.024917180873262463,160.12992321178618
42,0.026117297582854773,160.1302256905357
43,0.027345613659745117,160.13053508805987
44,0.028602127281300557,160.1308514164589
45,0.029886836621895976,160.1311746860687
46,0.031199739852914677,160.13150490574859
47,0.03254083514274904,160.13184208311787
48,0.033910120656801164,160.13218622474994
49,0.03530759455748353,160.13253733633303
