step,energy_like,coherence_proxy
0,2.5132742787306495e-05,246.14736827430653
5,0.0009047787169640115,252.27788193844967
10,0.0030410609343148676,252.29098056766315
15,0.006433976667301818,252.29249643633284
20,0.011083521240146827,252.29327608946664
25,0.016989688028839066,252.29404679202656
30,0.024152468461148126,252.29492273205983
35,0.03257185201664316,252.2959311785938
40,0.042247826226718105,252.2970805532247
45,0.05318037667462283,252.29837395743803
50,0.0653694869955003,252.29981269070828
55,0.07881513887642977,252.30139735424575
60,0.09351731205647586,252.30312824910396
65,0.10947598432674385,252.3050055361953
70,0.12669113153044068,252.30702930644094
75,0.14516272756294213,252.30919961379604
80,0.1648907443718661,252.31151649175382
85,0.18587515195715143,252.3139799620212
90,0.2081159183711434,252.31659003928416
95,0.2316130097186845,252.31934673392638
100,0.25636639015721185,252.3222500536324
105,0.2823760218968599,252.32530000436205
110,0.30964186520056997,252.32849659095876
115,0.3381638783842051,252.3318398175371
120,0.36794201781667113,252.33532968773707
125,0.39897623792004394,252.33896620489244
130,0.43126649116970206,252.34274937214516
135,0.4648127280944664,252.34667919252416
140,0.4996148972767446,252.35075566900008
145,0.5356729453526826,252.35497880452468
150,0.5729868170123212,252.35934860205845
155,0.6115564549997601,252.3638650645911
160,0.6513818001133247,252.36852819515656
165,0.6924627912057437,252.37333799684373
170,0.7347993651843285,252.37829447280518
175,0.7783914570111603,252.3833976262633
180,0.8232389997032835,252.3886474605147
185,0.8693419243329042,252.3940439789348
190,0.9167001600275956,252.39958718497942
195,0.965313633970508,252.4052770821877
200,1.0151822714005867,252.41111367418435
205,1.066305995612794,252.41709696467973
210,1.1186847279583392,252.42322695747205
215,1.1723183878449115,252.42950365644765
220,1.227206892736923,252.43592706558212
225,1.2833501581557538,252.44249718894014
230,1.3407480976800055,252.4492140306768
235,1.3994006229457592,252.45607759503758
240,1.4593076436468415,252.46308788635832
245,1.5204690675350936,252.470244909066
250,1.5828848004206502,252.47754866767858
255,1.646554746172219,252.4849991668057
260,1.7114788067173716,252.49259641114753
265,1.7776568820428376,252.50034040549696
270,1.8450888701948036,252.50823115473747
275,1.9137746672792233,252.5162686638449
280,1.983714167462125,252.52445293788625
285,2.0549072629699343,252.53278398202104
290,2.127353844089796,252.54126180149981
295,2.2010537991699066,252.54988640166553
300,2.2760070146198466,252.558657787953
305,2.3522133749109275,252.5675759658888
310,2.429672762576536,252.5766409410917
315,2.5083850582124922,252.58585271927194
320,2.588350140477405,252.59521130623202
325,2.6695678860930427,252.60471670786632
330,2.752038169844703,252.61436893016136
335,2.8357608645815877,252.6241679791955
340,2.9207358412171933,252.6341138611388
345,3.006962968729697,252.64420658225367
350,3.09444211416235,252.65444614889415
355,3.1831731426238874,252.66483256750624
360,3.273155917288924,252.67536584462823
365,3.364390299398379,252.6860459868899
370,3.456876148259891,252.6968730010133
375,3.5506133212482403,252.70784689381176
380,3.645601673805788,252.71896767219133
385,3.7418410594429043,252.73023534314927
390,3.83933132973842,252.74164991377506
395,3.938072334340071,252.75321139125006
400,4.038063920964955,252.764919782847
405,4.139305935399989,252.77677509593082
410,4.241798221502382,252.7887773379585
415,4.345540621200107,252.80092651647794
420,4.450532974492377,252.81322263912986
425,4.556775119450127,252.825665713646
430,4.664266892216513,252.83825574785013
435,4.773008127007404,252.8509927496577
440,4.882998656111881,252.8638767270758
445,4.99423830989275,252.87690768820326
450,5.10672691678706,252.89008564123074
455,5.220464303306612,252.90341059444
460,5.335450294038495,252.9168825562052
465,5.451684711645613,252.93050153499158
470,5.569167376867224,252.94426753935613
475,5.6878981085194855,252.95818057794722
480,5.807876723496005,252.9722406595053
485,5.929103036768386,252.98644779286172
490,6.051576861386803,253.00080198693976
495,6.175298008480562,253.01530325075413
499,6.275172870190777,253.0270101581319
