out,k,sigma,final_energy,final_coh
sweep_k0.000_sg2.0,0.0,2.0,1.5629891325302385,56.492767999267606
sweep_k0.000_sg4.0,0.0,4.0,6.275172870190777,253.0270101581319
sweep_k0.000_sg8.0,0.0,8.0,25.124676094626846,1317.9314117652336
sweep_k0.010_sg2.0,0.01,2.0,1.5552512406068677,56.49257001041083
sweep_k0.010_sg4.0,0.01,4.0,6.243990777174386,253.02676821960517
sweep_k0.010_sg8.0,0.01,8.0,24.99970823425474,1317.9310494190197
sweep_k0.050_sg2.0,0.05,2.0,1.5247441983884529,56.491776358636635
sweep_k0.050_sg4.0,0.05,4.0,6.121056788900145,253.02579838590657
sweep_k0.050_sg8.0,0.05,8.0,24.507031265656355,1317.929596916922
