step,energy_like,coherence_proxy
0,2.5132742787306495e-05,246.14736827430653
5,0.0009045525515400388,252.27787955870653
10,0.003039540822856353,252.29098008057116
15,0.006429153221275381,252.29249624228567
20,0.011072444022206694,252.29327594779724
25,0.016968466116500564,252.29404661937755
30,0.024116271015018988,252.2949224741427
35,0.032514908853207444,252.29593078490583
40,0.04216342839566731,252.29707997009572
45,0.053060877040728927,252.29837312566372
50,0.06520630082502524,252.29981154461228
55,0.0785987444280659,252.30139582126446
60,0.09323725117681204,252.30312624958552
65,0.10912086305025122,252.30500298329446
70,0.12624862068397294,252.3070261060614
75,0.14461956337474455,252.30919566455688
80,0.16423272908508724,252.31151168496876
85,0.18508715444785243,252.31397418168496
90,0.20718187477079839,252.3165831620643
95,0.23051592404116675,252.3193386291564
100,0.2550883349302596,252.32224058330786
105,0.28089813879801623,252.32528902313663
110,0.30794436569758993,252.32848394614177
115,0.33622604437992476,252.33182534909088
120,0.3657422022983329,252.33531322827534
125,0.3964918656130703,252.33894757967826
130,0.4284740591959141,252.3427283990892
135,0.4616878066347384,252.34665568218344
140,0.4961321302380901,252.35072942457597
145,0.531806051039765,252.35494962186186
150,0.5687085888033826,252.35931626964316
155,0.6068387620269612,252.36382936354988
160,0.6461955879474929,252.36848889925477
165,0.6867780825455162,252.37329487248417
170,0.728585260549691,252.37824727902648
175,0.7716161354413698,252.38334611473854
180,0.8158697194591711,252.38859137555016
185,0.8613450236035505,252.39398305746792
190,0.9080410576413708,252.39952115657772
195,0.9559568301104732,252.40520566904723
200,1.0050913483242454,252.41103659112804
205,1.0554436183761902,252.41701391915586
210,1.1070126451444933,252.42313764955244
215,1.1597974322965887,252.42940777882663
220,1.2137969822937253,252.43582430357407
225,1.269010296395531,252.44238722047868
230,1.3254363746645743,252.44909652631242
235,1.3830742159709295,252.45595221793624
240,1.4419228179967354,252.46295429229986
245,1.5019811772407545,252.470102746442
250,1.563248289022935,252.47739757749116
255,1.6257231474889628,252.48483878266492
260,1.6894047456148222,252.49242635927055
265,1.7542920752113464,252.50016030470528
270,1.8203841269287733,252.5080406164556
275,1.8876798902612957,252.51606729209823
280,1.9561783535516102,252.52424032929937
285,2.0258785039954668,252.5325597258154
290,2.0967793276462166,252.54102547949245
295,2.1688798094193547,252.54963758826645
300,2.2421789330970636,252.55839605016325
305,2.3166756813327565,252.56730086329867
310,2.392369035655617,252.57635202587824
315,2.469257976475133,252.58554953619753
320,2.547341483085639,252.59489339264192
325,2.6266185336708454,252.60438359368652
330,2.707088105308374,252.61402013789612
335,2.788749173974283,252.62380302392575
340,2.8716007145476,252.6337322505196
345,2.9556417008148492,252.64380781651215
350,3.0408711054745674,252.654029720827
355,3.1272879001418334,252.66439796247795
360,3.214891055352784,252.67491254056807
365,3.303679540569131,252.68557345429016
370,3.393652324182679,252.69638070292638
375,3.4848083735198316,252.70733428584896
380,3.5771466548461084,252.71843420251895
385,3.670666133370647,252.72968045248737
390,3.7653657732507138,252.74107303539427
395,3.8612445375962,252.7526119509694
400,3.958301388474127,252.7642971990317
405,4.056535286913142,252.77612877948934
410,4.155945192908011,252.7881066923399
415,4.256530065424115,252.8002309376699
420,4.358288862401934,252.8125015156557
425,4.461220540761536,252.82491842656214
430,4.565324056407067,252.8374816707434
435,4.670598364231219,252.85019124864277
440,4.77704241811972,252.8630471607925
445,4.884655170955799,252.8760494078139
450,4.993435574624671,252.88919799041693
455,5.103382580017992,252.90249290940108
460,5.214495137038331,252.91593416565377
465,5.326772194603638,252.92952176015226
470,5.4402127006516965,252.94325569396173
475,5.554815602144584,252.9571359682365
480,5.670579845073121,252.9711625842196
485,5.787504374461325,252.98533554324274
490,5.9055881343708645,252.9996548467258
495,6.024830067905482,253.0141204961773
499,6.121056788900145,253.02579838590657
